iter	Passed	Remaining
0	3	3518
1	7	3619
2	10	3561
3	14	3547
4	17	3517
5	21	3519
6	25	3591
7	28	3559
8	32	3538
9	36	3606
10	39	3596
11	43	3576
12	46	3562
13	50	3557
14	53	3545
15	57	3536
16	60	3526
17	65	3580
18	69	3567
19	72	3561
20	76	3562
21	81	3623
22	85	3626
23	88	3618
24	93	3631
25	96	3624
26	99	3593
27	102	3543
28	104	3496
29	106	3446
30	108	3386
31	110	3334
32	112	3283
33	113	3235
34	115	3180
35	117	3134
36	118	3087
37	120	3041
38	121	2996
39	122	2951
40	124	2904
41	125	2858
42	126	2816
43	127	2775
44	128	2736
45	130	2698
46	131	2660
47	132	2621
48	133	2584
49	134	2548
50	135	2514
51	136	2480
52	136	2447
53	137	2416
54	138	2386
55	139	2356
56	140	2326
57	142	2306
58	142	2278
59	143	2245
60	144	2218
61	144	2193
62	145	2168
63	146	2144
64	147	2121
65	148	2097
66	148	2074
67	149	2051
68	150	2030
69	151	2009
70	151	1988
71	152	1968
72	153	1948
73	153	1925
74	154	1907
75	155	1888
76	155	1866
77	156	1849
78	157	1831
79	157	1816
80	158	1800
81	159	1783
82	160	1768
83	160	1752
84	161	1738
85	162	1723
86	162	1709
87	163	1694
88	164	1681
89	164	1667
90	165	1654
91	166	1642
92	167	1629
93	167	1616
94	168	1604
95	169	1593
96	170	1582
97	170	1571
98	171	1560
99	172	1549
100	172	1539
101	173	1529
102	174	1519
103	175	1510
104	176	1501
105	176	1492
106	178	1488
107	179	1479
108	179	1470
109	180	1460
110	181	1452
111	182	1443
112	182	1434
113	183	1427
114	184	1421
115	185	1414
116	186	1407
117	187	1399
118	187	1391
119	188	1383
120	189	1375
121	190	1367
122	190	1360
123	191	1353
124	192	1346
125	192	1338
126	193	1331
127	194	1325
128	195	1318
129	195	1311
130	196	1304
131	197	1297
132	198	1291
133	198	1284
134	199	1278
135	200	1271
136	200	1265
137	201	1259
138	202	1253
139	203	1247
140	203	1241
141	204	1235
142	205	1230
143	205	1224
144	206	1218
145	207	1212
146	208	1207
147	208	1202
148	209	1196
149	210	1193
150	211	1188
151	212	1184
152	213	1181
153	214	1177
154	215	1174
155	216	1170
156	217	1165
157	217	1160
158	218	1155
159	219	1151
160	220	1146
161	220	1142
162	221	1138
163	222	1135
164	223	1131
165	224	1127
166	225	1123
167	226	1119
168	226	1115
169	227	1111
170	228	1106
171	229	1102
172	229	1098
173	230	1094
174	231	1091
175	236	1104
176	237	1102
177	238	1101
178	239	1097
179	240	1094
180	241	1094
181	242	1091
182	243	1087
183	244	1084
184	245	1081
185	246	1077
186	247	1074
187	248	1071
188	248	1068
189	249	1065
190	250	1062
191	251	1059
192	252	1056
193	253	1053
194	254	1050
195	255	1047
196	256	1044
197	257	1041
198	257	1038
199	258	1035
200	259	1032
201	260	1029
202	261	1027
203	262	1024
204	263	1021
205	264	1018
206	265	1015
207	266	1013
208	267	1010
209	268	1008
210	268	1005
211	269	1003
212	270	1000
213	271	997
214	272	995
215	273	992
216	274	989
217	275	988
218	276	985
219	277	982
220	278	980
221	278	977
222	279	974
223	280	972
224	281	970
225	282	967
226	283	965
227	284	963
228	285	960
229	286	958
230	287	955
231	287	953
232	288	951
233	289	949
234	290	946
235	291	943
236	292	941
237	293	939
238	294	937
239	295	935
240	296	932
241	297	930
242	297	928
243	298	926
244	299	923
245	321	985
246	323	986
247	340	1032
248	348	1050
249	350	1051
250	351	1049
